number,name,status
592,Adding “Yank” Support to the Simple API,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
589,TypedDict: Type Hints for Dictionaries with a Fixed Set of Keys,"<dt class=""field-odd"">Status<span class=""colon"">:</span></dt>"
590,Vectorcall: a fast calling protocol for CPython,"<dt class=""field-odd"">Status<span class=""colon"">:</span></dt>"
588,GitHub Issues Migration Plan,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
591,Adding a final qualifier to typing,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
587,Python Initialization Configuration,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
586,Literal Types,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
585,Type Hinting Generics In Standard Collections,"<dt class=""field-odd"">Status<span class=""colon"">:</span></dt>"
584,Add Union Operators To dict,"<dt class=""field-odd"">Status<span class=""colon"">:</span></dt>"
583,A Concurrency Memory Model for Python,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
582,Python local packages directory,"<dt class=""field-odd"">Status<span class=""colon"">:</span></dt>"
581,Using GitHub Issues for CPython,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
580,The C call protocol,"<dt class=""field-odd"">Status<span class=""colon"">:</span></dt>"
578,Python Runtime Audit Hooks,"<dt class=""field-odd"">Status<span class=""colon"">:</span></dt>"
577,Augmented Assignment Expressions,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
579,Refactoring C functions and methods,"<dt class=""field-odd"">Status<span class=""colon"">:</span></dt>"
576,Rationalize Built-in function classes,"<dt class=""field-odd"">Status<span class=""colon"">:</span></dt>"
574,Pickle protocol 5 with out-of-band data,"<dt class=""field-odd"">Status<span class=""colon"">:</span></dt>"
575,Unifying function/method classes,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
571,The manylinux2010 Platform Tag,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
573,Module State Access from C Extension Methods,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
572,Assignment Expressions,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
570,Python Positional-Only Parameters,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
569,Python 3.8 Release Schedule,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
568,Generator-sensitivity for Context Variables,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
567,Context Variables,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
564,Add new time functions with nanosecond resolution,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
566,Metadata for Python Software Packages 2.1,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
565,Show DeprecationWarning in __main__,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
562,Module __getattr__ and __dir__,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
563,Postponed Evaluation of Annotations,"<dt class=""field-odd"">Status<span class=""colon"">:</span></dt>"
561,Distributing and Packaging Type Information,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
559,Built-in noop(),"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
554,Multiple Interpreters in the Stdlib,"<dt class=""field-odd"">Status<span class=""colon"">:</span></dt>"
560,Core support for typing module and generic types,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
558,Defined semantics for locals(),"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
557,Data Classes,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
555,Context-local variables (contextvars),"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
553,Built-in breakpoint(),"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
552,Deterministic pycs,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
556,Threaded garbage collection,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
551,Security transparency in the Python runtime,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
548,More Flexible Loop Control,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
549,Instance Descriptors,"<dt class=""field-odd"">Status<span class=""colon"">:</span></dt>"
550,Execution Context,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
547,Running extension modules using the -m option,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
546,Backport ssl.MemoryBIO and ssl.SSLObject to Python 2.7,"<dt class=""field-odd"">Status<span class=""colon"">:</span></dt>"
545,Python Documentation Translations,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
544,Protocols: Structural subtyping (static duck typing),"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
543,A Unified TLS API for Python,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
542,Dot Notation Assignment In Function Header,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
541,Package Index Name Retention,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
539,A New C-API for Thread-Local Storage in CPython,"<dt class=""field-odd"">Status<span class=""colon"">:</span></dt>"
540,Add a new UTF-8 Mode,"<dt class=""field-odd"">Status<span class=""colon"">:</span></dt>"
538,Coercing the legacy C locale to a UTF-8 based locale,"<dt class=""field-odd"">Status<span class=""colon"">:</span></dt>"
537,Python 3.7 Release Schedule,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
535,Rich comparison chaining,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
536,Final Grammar for Literal String Interpolation,"<dt class=""field-even"">Status<span class=""colon"">:</span></dt>"
